TIME_PERIOD,Indice
2020-05,83.1
2020-06,88.8
2020-07,89.2
2020-08,90.4
2020-09,93.1
2020-10,89.9
2020-11,86.2
2020-12,90.7
2021-01,90.4
2021-02,91
2021-03,90.6
2021-04,91.8
2021-05,99.3
2021-06,103.3
2021-07,104.6
2021-08,104.3
2021-09,107.3
2021-10,106.3
2021-11,105.5
2021-12,105.6
2022-01,102.5
2022-02,100.9
2022-03,90.4
2022-04,89.8
2022-05,92.2
2022-06,88.2
2022-07,85.1
2022-08,88.3
2022-09,85.1
2022-10,80.9
2022-11,88
2022-12,92
2023-01,90.5
2023-02,93.3
2023-03,94.4
2023-04,94.7
2023-05,94.3
2023-06,97.5
2023-07,95.7
2023-08,95.6
2023-09,94.6
2023-10,91.1
2023-11,93
2023-12,95.8
2024-01,96.4
2024-02,97
2024-03,96.5
2024-04,95.2
2024-05,96.4
2024-06,98.3
2024-07,98.9
2024-08,96.1
2024-09,98.3
2024-10,97.4
2024-11,96.6
2024-12,96.3
2025-01,98.2
2025-02,98.8
2025-03,95